account_no,fund_code
767674-458974,K55210D13324
7018-6962,K55105BA7386
941348-199285,K55301CW6474
018475-885599,K55105D44792
6784-3729,K55206C30252
476337-390580,KR5363A00270
1147-7226,K55373CM4557
0477-6997,K55373CM4532
60516966-46,K55305CY9514
40641290-281,K55370BC3324
3540-4286,K55213DS2616
40208998-91,K55102BZ4445
980–3119–6218-8,K55301BR5516
56350641-15,KR5105A22139
259080-837415,K55101BD5399
029-41-556747,KR5225A04026
60516966-46,K55223BW3824
9195-4191,KR5301962969
694-47-519343,K55213C14120
281–0077–4181-9,KR5213AP8116
5528-8893,K55235CD7799
1591-4147,KR5306561881
020311-496729,KR5101190365
556290-782177,KR5212AZ4965
35324396-712,K55237B91152
855961-203492,K55365C12577
53626823-930,KR5391982091
5720-1977,K55101DN1030
25516338-81,K55307DX0396
647-97-272197,K55210DF2218
65647747-78,KR5101870800
2924-0909,K55229BH2555
69736784-623,K55107EA9205
09157354-29,KR5101726291
945365-763338,KR5214AP8842
250-35-088431,K55301DT9159
78529483-44,K55301BC5265
207–7617–5277-7,K55223D11198
5283-5937,KR5102A52661
40405218-76,KR5223959606
405-79-113430,K55213BO0608
351487-717069,K55366BO1890
618–3336–2937-3,KR5219844085
546–7271–9563-4,KR5223959549
98806970-48,KR5206853842
095–0423–7275-8,KR5306966122
621673-673522,KR5223AP4428
340-88-306805,K55203E51962
2751-1171,KR5223AF8967
84753446-40,K55311D53755
719385-894569,KR5105879948
1061-1433,KR5205AI0021
887-57-043405,K55301B47273
7294-7868,K55105BS7162
9118-2233,KR5223AE0759
48323716-20,KR5228AT7554
325–8883–1176-8,KR5214AP8883
466-19-144958,K553N9BU5528
491–3201–3217-7,KR5206AQ7520
10147790-77,KR5105A22147
645-58-015321,KR5210895151
082601-686328,KR5363AP7892
838314-692137,K55102CO0445
241-84-312030,K55107DB6409
945365-763338,KR5234AK6060
55176786-814,K55210DJ9474
5158-1380,KR5219842022
632375-428679,K55306B99315
541-19-468083,K55102BL2973
7956-2976,KR5102AM1399
103–0770–3122-9,K55366BU9820
449-36-583547,K55306B85215
012–0415–7264-6,KR5235AC9501
025811-473905,KR5206926945
231993-867199,K55232B77988
986-27-660389,K55210E10278
44091270-21,K55311DF3982
5988-3968,K55203DS8003
700–7083–6061-5,K55102BN0660
375–0690–9868-9,K55306CZ0305
159007-322083,K55101CU3608
412-75-037169,K55301BU4084
22307609-44,KR5101558520
5528-8893,KR5301943787
60516966-46,KR5301764142
35278556-416,K55310BZ7024
80211459-64,K55216BY4837
618–3336–2937-3,K55207B29676
978365-600759,KR5212AV3169
40405218-76,KRM303286616
961–4121–8827-7,K55105B29847
28068905-05,K55214BT3283
23249341-35,KR5235A66974
44887696-82,K55232BA3209
3976-5453,K55363B53321
820226-385342,KR5391982117
92917054-10,KR5209371792
5490-9188,K55366BU9572
78529483-44,KR5230AQ9658
060900-438114,K55232BW8343
281-96-286019,KR5101AH6693
709–2015–9478-2,KR5102359514
114-54-676040,K55223CO5588
245094-921679,K55301BZ1648
190–3600–1671-0,K55366BR3364
694-37-182774,K55223DT6648
906-53-899499,K55223BG7486
14322092-49,K55223BG4400
63684092-64,K55363B53388
110–3582–8826-2,K55207CF8906
124–0930–8448-4,K55210DW5483
54512425-09,K55207BT8034
37563387-11,K553H6E00511
88110639-254,K55234BX7649
21762818-62,KR5209587892
645-58-015321,KR5101964702
26638587-087,K55223DS3323
505–9870–6272-5,KR5104AU7121
168–6643–1594-3,K55102C56597
2731-2728,KR5373A23651
647853-610545,KRM303712819
231993-867199,K55216BJ6120
7222-8217,K55105BA7089
781–3221–0927-8,K55206DK1219
546539-300908,KR5301AL4401
398–7275–8789-1,K55213BY9722
0343-4625,K55207BO0192
948880-122494,K55366B28961
440–2737–3732-9,K55232BE0664
346–2511–0236-0,KR5219768342
00594065-78,KR5302AF5223
398–7275–8789-1,K55105BA1041
265905-985777,KR5230AR3494
259517-428809,K55105B89734
497-79-481818,KR5364AE9718
780785-935960,KR5210AQ2608
44447146-187,K55206BL0394
57453691-384,K55101D20791
91763491-88,K55216CJ3969
86608602-410,K55301BC4888
668-67-619272,K55101DC5406
83008780-767,KR5219725201
